source_id,run_accession,experiment_accession,experiment_title,run_title,file_name,file_type,data_level,size_bytes,download_url,is_raw,is_processed,local_path,download_status,sha256,git_tracking,notes
HRA005567,HRR1375448,,,,HRR1375448_sta.xml,XML,run_statistics,2388,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375448/HRR1375448_sta.xml,no,no,data/external/HRA005567/HRR1375448/HRR1375448_sta.xml,not_downloaded,,ignored,官方run统计；未提交附件
HRA005567,HRR1375449,HRX1076979,CP1-9,CP1-9-2a,HRR1375449_f1.fq.gz,FASTQ,raw,3754653826,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375449/HRR1375449_f1.fq.gz,yes,no,data/raw/HRA005567/HRR1375449/HRR1375449_f1.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375449,HRX1076979,CP1-9,CP1-9-2a,HRR1375449_r2.fq.gz,FASTQ,raw,8746047763,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375449/HRR1375449_r2.fq.gz,yes,no,data/raw/HRA005567/HRR1375449/HRR1375449_r2.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375449,,,,HRR1375449_sta.xml,XML,run_statistics,2371,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375449/HRR1375449_sta.xml,no,no,data/external/HRA005567/HRR1375449/HRR1375449_sta.xml,not_downloaded,,ignored,官方run统计；未提交附件
HRA005567,HRR1375450,HRX1076979,CP1-9,CP1-9-2b,HRR1375450_f1.fq.gz,FASTQ,raw,1525621505,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375450/HRR1375450_f1.fq.gz,yes,no,data/raw/HRA005567/HRR1375450/HRR1375450_f1.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375450,HRX1076979,CP1-9,CP1-9-2b,HRR1375450_r2.fq.gz,FASTQ,raw,3537191385,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375450/HRR1375450_r2.fq.gz,yes,no,data/raw/HRA005567/HRR1375450/HRR1375450_r2.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375450,,,,HRR1375450_sta.xml,XML,run_statistics,2350,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375450/HRR1375450_sta.xml,no,no,data/external/HRA005567/HRR1375450/HRR1375450_sta.xml,not_downloaded,,ignored,官方run统计；未提交附件
HRA005567,HRR1375451,HRX1076979,CP1-9,CP1-9-2c,HRR1375451_f1.fq.gz,FASTQ,raw,2670548882,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375451/HRR1375451_f1.fq.gz,yes,no,data/raw/HRA005567/HRR1375451/HRR1375451_f1.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375451,HRX1076979,CP1-9,CP1-9-2c,HRR1375451_r2.fq.gz,FASTQ,raw,6212584801,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375451/HRR1375451_r2.fq.gz,yes,no,data/raw/HRA005567/HRR1375451/HRR1375451_r2.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375451,,,,HRR1375451_sta.xml,XML,run_statistics,2360,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375451/HRR1375451_sta.xml,no,no,data/external/HRA005567/HRR1375451/HRR1375451_sta.xml,not_downloaded,,ignored,官方run统计；未提交附件
HRA005567,HRR1375452,HRX1076979,CP1-9,CP1-9-2d,HRR1375452_f1.fq.gz,FASTQ,raw,1954189568,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375452/HRR1375452_f1.fq.gz,yes,no,data/raw/HRA005567/HRR1375452/HRR1375452_f1.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375452,HRX1076979,CP1-9,CP1-9-2d,HRR1375452_r2.fq.gz,FASTQ,raw,4567567224,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375452/HRR1375452_r2.fq.gz,yes,no,data/raw/HRA005567/HRR1375452/HRR1375452_r2.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375452,,,,HRR1375452_sta.xml,XML,run_statistics,2352,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375452/HRR1375452_sta.xml,no,no,data/external/HRA005567/HRR1375452/HRR1375452_sta.xml,not_downloaded,,ignored,官方run统计；未提交附件
HRA005567,HRR1375453,HRX1076979,CP1-9,CP1-9-2e,HRR1375453_f1.fq.gz,FASTQ,raw,5406733328,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375453/HRR1375453_f1.fq.gz,yes,no,data/raw/HRA005567/HRR1375453/HRR1375453_f1.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375453,HRX1076979,CP1-9,CP1-9-2e,HRR1375453_r2.fq.gz,FASTQ,raw,12611371807,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375453/HRR1375453_r2.fq.gz,yes,no,data/raw/HRA005567/HRR1375453/HRR1375453_r2.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375453,,,,HRR1375453_sta.xml,XML,run_statistics,2381,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375453/HRR1375453_sta.xml,no,no,data/external/HRA005567/HRR1375453/HRR1375453_sta.xml,not_downloaded,,ignored,官方run统计；未提交附件
HRA005567,HRR1375454,HRX1076979,CP1-9,CP1-9-2f,HRR1375454_f1.fq.gz,FASTQ,raw,5704642480,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375454/HRR1375454_f1.fq.gz,yes,no,data/raw/HRA005567/HRR1375454/HRR1375454_f1.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375454,HRX1076979,CP1-9,CP1-9-2f,HRR1375454_r2.fq.gz,FASTQ,raw,13357638102,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375454/HRR1375454_r2.fq.gz,yes,no,data/raw/HRA005567/HRR1375454/HRR1375454_r2.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375454,,,,HRR1375454_sta.xml,XML,run_statistics,2382,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375454/HRR1375454_sta.xml,no,no,data/external/HRA005567/HRR1375454/HRR1375454_sta.xml,not_downloaded,,ignored,官方run统计；未提交附件
HRA005567,HRR1375455,HRX1076979,CP1-9,CP1-9-2g,HRR1375455_f1.fq.gz,FASTQ,raw,5378724008,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375455/HRR1375455_f1.fq.gz,yes,no,data/raw/HRA005567/HRR1375455/HRR1375455_f1.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375455,HRX1076979,CP1-9,CP1-9-2g,HRR1375455_r2.fq.gz,FASTQ,raw,12575653722,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375455/HRR1375455_r2.fq.gz,yes,no,data/raw/HRA005567/HRR1375455/HRR1375455_r2.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375455,,,,HRR1375455_sta.xml,XML,run_statistics,2381,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375455/HRR1375455_sta.xml,no,no,data/external/HRA005567/HRR1375455/HRR1375455_sta.xml,not_downloaded,,ignored,官方run统计；未提交附件
HRA005567,HRR1375456,HRX1076979,CP1-9,CP1-9-2h,HRR1375456_f1.fq.gz,FASTQ,raw,6323404988,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375456/HRR1375456_f1.fq.gz,yes,no,data/raw/HRA005567/HRR1375456/HRR1375456_f1.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375456,HRX1076979,CP1-9,CP1-9-2h,HRR1375456_r2.fq.gz,FASTQ,raw,14820465612,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375456/HRR1375456_r2.fq.gz,yes,no,data/raw/HRA005567/HRR1375456/HRR1375456_r2.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375456,,,,HRR1375456_sta.xml,XML,run_statistics,2383,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375456/HRR1375456_sta.xml,no,no,data/external/HRA005567/HRR1375456/HRR1375456_sta.xml,not_downloaded,,ignored,官方run统计；未提交附件
HRA005567,HRR1375457,HRX1076980,CP1-10,CP1-10-a,HRR1375457_f1.fq.gz,FASTQ,raw,6818394663,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375457/HRR1375457_f1.fq.gz,yes,no,data/raw/HRA005567/HRR1375457/HRR1375457_f1.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375457,HRX1076980,CP1-10,CP1-10-a,HRR1375457_r2.fq.gz,FASTQ,raw,15893242729,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375457/HRR1375457_r2.fq.gz,yes,no,data/raw/HRA005567/HRR1375457/HRR1375457_r2.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375457,,,,HRR1375457_sta.xml,XML,run_statistics,2388,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375457/HRR1375457_sta.xml,no,no,data/external/HRA005567/HRR1375457/HRR1375457_sta.xml,not_downloaded,,ignored,官方run统计；未提交附件
HRA005567,HRR1375458,HRX1076980,CP1-10,CP1-10-b,HRR1375458_f1.fq.gz,FASTQ,raw,4382059021,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375458/HRR1375458_f1.fq.gz,yes,no,data/raw/HRA005567/HRR1375458/HRR1375458_f1.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375458,HRX1076980,CP1-10,CP1-10-b,HRR1375458_r2.fq.gz,FASTQ,raw,10146913645,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375458/HRR1375458_r2.fq.gz,yes,no,data/raw/HRA005567/HRR1375458/HRR1375458_r2.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375458,,,,HRR1375458_sta.xml,XML,run_statistics,2381,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375458/HRR1375458_sta.xml,no,no,data/external/HRA005567/HRR1375458/HRR1375458_sta.xml,not_downloaded,,ignored,官方run统计；未提交附件
HRA005567,HRR1375459,HRX1076980,CP1-10,CP1-10-c,HRR1375459_f1.fq.gz,FASTQ,raw,5379608217,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375459/HRR1375459_f1.fq.gz,yes,no,data/raw/HRA005567/HRR1375459/HRR1375459_f1.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375459,HRX1076980,CP1-10,CP1-10-c,HRR1375459_r2.fq.gz,FASTQ,raw,12481636945,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375459/HRR1375459_r2.fq.gz,yes,no,data/raw/HRA005567/HRR1375459/HRR1375459_r2.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375459,,,,HRR1375459_sta.xml,XML,run_statistics,2385,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375459/HRR1375459_sta.xml,no,no,data/external/HRA005567/HRR1375459/HRR1375459_sta.xml,not_downloaded,,ignored,官方run统计；未提交附件
HRA005567,HRR1375460,HRX1076980,CP1-10,CP1-10-d,HRR1375460_f1.fq.gz,FASTQ,raw,6899912412,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375460/HRR1375460_f1.fq.gz,yes,no,data/raw/HRA005567/HRR1375460/HRR1375460_f1.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
